Sensor ID,Name,Lat,Lon,LCZ
2001,Milano Lambrate,45.49677982,9.2575154,B_E
4058,Cinisello Balsamo Parco Nord,45.54266468,9.205603412,B_D
5897,Milano v.Brera,45.47165629,9.189110384,2
5903,Corsico v.le Italia,45.43610851,9.097410842,8_E
5909,Milano v.Juvara,45.47322571,9.222315139,5_2
5910,Lacchiarella v.Molise,45.32451741,9.134517264,5_6
5911,Milano v.Marche,45.49631644,9.190933555,"5_2,6"
5917,Rodano v.Turati,45.47258003,9.35349714,6
5920,Milano P.zza Zavattari,45.47606341,9.141786267,"5_2,8"
8162,Milano v.Feltre,45.49163262,9.248738239,B_5
12759,Pogliano Milanese,45.53557672,9.005199956,D_F
14742,Rho Scalo Fiorenza - Prato,45.51781085,9.0879233,E_8
