name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Milano, Lombardia, Italia",01/01/2022,8.5,-0.9,1.5,8.5,-3.4,1.1,1.2,98.1,0.183,100,4.17,"rain,snow",0,0,18.4,7.2,103.4,1025.2,30.1,1.3,30.6,2.7,1,,2022-01-01T08:03:23,2022-01-01T16:50:29,0.95,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning snow or rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",02/01/2022,10.1,-0.9,3.2,10.1,-3,2.6,2.7,96.5,0.366,100,8.33,"rain,snow",0,0,5.4,9.2,272.5,1024.6,38.6,4.5,28.4,2.4,1,,2022-01-02T08:03:24,2022-01-02T16:51:25,0,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",03/01/2022,6.2,0.9,3.7,6.1,-1.5,2.4,3.5,98.6,0,0,0,,0,0,18.4,9,74.2,1019.7,60.6,2.5,15.5,1.4,1,,2022-01-03T08:03:22,2022-01-03T16:52:23,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",04/01/2022,7.1,6,6.5,7.1,4.6,6.4,6.1,97.2,3.747,100,41.67,rain,0,0,15.1,7.2,37.4,1011.5,93.8,2.4,7,0.6,0,,2022-01-04T08:03:18,2022-01-04T16:53:23,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",05/01/2022,8.1,6,6.9,7.4,4.5,5.9,5.3,91.5,12.747,100,41.67,rain,0,0,68.4,9.4,248.6,1001.7,88.7,4.6,16.6,1.3,1,,2022-01-05T08:03:11,2022-01-05T16:54:24,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",06/01/2022,7.1,0,4.1,7.1,-1.6,3.1,1.6,84,0,0,0,,0,0,63,9.5,57.4,1013.1,45.8,9.9,56.6,5,3,,2022-01-06T08:03:01,2022-01-06T16:55:28,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",07/01/2022,6.1,-2.9,1.4,4.6,-5.1,0.6,-1.4,83.3,0,0,0,,0,0,14.8,10.5,65.8,1019.4,14,10,42.8,3.8,2,,2022-01-07T08:02:49,2022-01-07T16:56:33,0.15,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",08/01/2022,5.1,-3,-0.5,3,-5,-1.8,-1.7,92.2,0.183,100,4.17,rain,0,0,16.6,12.4,251.3,1014.1,5.1,6.1,21.7,1.9,1,,2022-01-08T08:02:34,2022-01-08T16:57:40,0.19,Rain,Clear conditions throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",09/01/2022,4.2,-2,0.7,2.3,-4,-0.9,-0.2,94.3,0,0,0,,0,0,16.6,11,238.7,1005.6,34.8,5.2,44.7,4,3,,2022-01-09T08:02:16,2022-01-09T16:58:48,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",10/01/2022,2.6,-4.8,-1.3,0.4,-7.2,-2.6,-2.4,92.7,0.183,100,4.17,"rain,snow",0,0,38.9,10.7,271.4,1011.8,14.2,3.6,26.4,2.3,1,10,2022-01-10T08:01:56,2022-01-10T16:59:58,0.25,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
