DateTime,Name,Mean_W,Mean_T,LCZ
2023-02-01 00:00:00,Milano Lambrate,0.93,4.13,B_E
2023-02-01 01:00:00,Milano Lambrate,1.23,4.53,B_E
2023-02-01 02:00:00,Milano Lambrate,1.0,3.83,B_E
2023-02-01 03:00:00,Milano Lambrate,0.95,4.07,B_E
2023-02-01 04:00:00,Milano Lambrate,0.78,2.8,B_E
2023-02-01 05:00:00,Milano Lambrate,0.92,3.07,B_E
2023-02-01 06:00:00,Milano Lambrate,0.87,3.05,B_E
2023-02-01 07:00:00,Milano Lambrate,0.58,2.08,B_E
2023-02-01 08:00:00,Milano Lambrate,0.63,1.48,B_E
2023-02-01 09:00:00,Milano Lambrate,0.47,5.72,B_E
2023-02-01 10:00:00,Milano Lambrate,0.67,9.43,B_E
2023-02-01 11:00:00,Milano Lambrate,1.88,12.35,B_E
2023-02-01 12:00:00,Milano Lambrate,2.32,13.7,B_E
2023-02-01 13:00:00,Milano Lambrate,2.43,14.6,B_E
2023-02-01 14:00:00,Milano Lambrate,2.57,14.87,B_E
2023-02-01 15:00:00,Milano Lambrate,2.18,14.88,B_E
2023-02-01 16:00:00,Milano Lambrate,2.05,13.83,B_E
2023-02-01 17:00:00,Milano Lambrate,1.43,11.88,B_E
2023-02-01 18:00:00,Milano Lambrate,1.3,10.45,B_E
2023-02-01 19:00:00,Milano Lambrate,0.4,8.47,B_E
2023-02-01 20:00:00,Milano Lambrate,0.8,7.5,B_E
2023-02-01 21:00:00,Milano Lambrate,1.72,7.98,B_E
2023-02-01 22:00:00,Milano Lambrate,1.6,8.2,B_E
2023-02-01 23:00:00,Milano Lambrate,1.62,7.48,B_E
2023-02-02 00:00:00,Milano Lambrate,1.6,7.48,B_E
2023-02-02 01:00:00,Milano Lambrate,1.98,7.5,B_E
2023-02-02 02:00:00,Milano Lambrate,1.23,5.92,B_E
2023-02-02 03:00:00,Milano Lambrate,1.28,6.23,B_E
2023-02-02 04:00:00,Milano Lambrate,1.62,6.5,B_E
2023-02-02 05:00:00,Milano Lambrate,1.52,5.67,B_E
2023-02-02 06:00:00,Milano Lambrate,1.6,5.63,B_E
2023-02-02 07:00:00,Milano Lambrate,1.78,6.4,B_E
2023-02-02 08:00:00,Milano Lambrate,1.47,6.82,B_E
2023-02-02 09:00:00,Milano Lambrate,1.43,9.97,B_E
2023-02-02 10:00:00,Milano Lambrate,1.58,12.45,B_E
2023-02-02 11:00:00,Milano Lambrate,2.48,13.92,B_E
2023-02-02 12:00:00,Milano Lambrate,2.63,15.05,B_E
2023-02-02 13:00:00,Milano Lambrate,3.1,16.08,B_E
2023-02-02 14:00:00,Milano Lambrate,3.07,15.98,B_E
2023-02-02 15:00:00,Milano Lambrate,2.88,15.7,B_E
2023-02-02 16:00:00,Milano Lambrate,2.42,14.67,B_E
2023-02-02 17:00:00,Milano Lambrate,2.22,13.12,B_E
2023-02-02 18:00:00,Milano Lambrate,2.0,12.37,B_E
2023-02-02 19:00:00,Milano Lambrate,0.92,10.32,B_E
2023-02-02 20:00:00,Milano Lambrate,0.97,8.2,B_E
2023-02-02 21:00:00,Milano Lambrate,1.13,7.97,B_E
2023-02-02 22:00:00,Milano Lambrate,1.2,7.58,B_E
2023-02-02 23:00:00,Milano Lambrate,1.05,6.87,B_E
2023-02-03 00:00:00,Milano Lambrate,0.88,7.45,B_E
2023-02-03 01:00:00,Milano Lambrate,1.03,6.55,B_E
2023-02-03 02:00:00,Milano Lambrate,0.93,6.12,B_E
2023-02-03 03:00:00,Milano Lambrate,0.68,5.32,B_E
2023-02-03 04:00:00,Milano Lambrate,0.58,3.85,B_E
2023-02-03 05:00:00,Milano Lambrate,0.63,2.63,B_E
2023-02-03 06:00:00,Milano Lambrate,0.42,1.68,B_E
2023-02-03 07:00:00,Milano Lambrate,0.5,1.88,B_E
2023-02-03 08:00:00,Milano Lambrate,0.65,2.45,B_E
2023-02-03 09:00:00,Milano Lambrate,0.65,5.82,B_E
2023-02-03 10:00:00,Milano Lambrate,0.67,8.22,B_E
2023-02-03 11:00:00,Milano Lambrate,1.02,11.08,B_E
2023-02-03 12:00:00,Milano Lambrate,1.42,13.47,B_E
2023-02-03 13:00:00,Milano Lambrate,2.07,14.42,B_E
2023-02-03 14:00:00,Milano Lambrate,2.15,15.08,B_E
2023-02-03 15:00:00,Milano Lambrate,2.05,15.57,B_E
2023-02-03 16:00:00,Milano Lambrate,1.7,15.27,B_E
2023-02-03 17:00:00,Milano Lambrate,1.9,13.58,B_E
2023-02-03 18:00:00,Milano Lambrate,1.77,12.35,B_E
2023-02-03 19:00:00,Milano Lambrate,1.95,11.92,B_E
